PPFD,415,445,480,515,555,590,630,680
746,842, 3826, 3732, 5392, 8099, 10121, 11370, 6316
742,891, 4013, 3920, 5689, 8580, 10795, 12121, 6791
646,860, 3809, 3752, 5443, 8229, 10386, 11717, 6657
603,851, 3762, 3696, 5390, 8167, 10332, 11753, 6683
593,865, 3832, 3758, 5485, 8343, 10561, 12036, 6847
543,837, 3689, 3627, 5281, 8044, 10187, 11667, 6672
650,932, 4162, 4065, 5913, 9038, 11445, 13053, 7369
698,961, 4313, 4200, 6121, 9343, 11831, 13451, 7573
768,975, 4423, 4289, 6245, 9499, 12001, 13597, 7578
777,951, 4317, 4190, 6092, 9243, 11655, 13161, 7342
789,897, 4130, 4003, 5776, 8716, 10920, 12296, 6782
775,872, 4002, 3892, 5602, 8431, 10552, 11838, 6548
784,950, 4344, 4212, 6098, 9249, 11652, 13155, 7298
764,897, 4076, 3976, 5737, 8662, 10875, 12226, 6818
2707,3019, 13918, 13497, 19631, 29521, 36956, 41704, 23189
2556,2474, 11637, 11192, 16236, 24246, 30136, 34268, 18906
2148,1828, 8688, 8316, 12040, 17841, 22156, 25058, 13750
2638,2765, 12883, 12416, 18088, 27158, 33981, 38378, 21271
2619,2589, 12209, 11727, 17107, 25588, 31865, 36224, 20216
2649,2846, 13222, 12770, 18577, 27915, 34949, 39413, 21880
